,texture height (mm),center-to-center distance (mm),texture width (mm),lip depth (mm),lip thickness (mm),receding angle,Category_non-textured,Category_textured,subcategory_cavities,subcategory_flat,subcategory_pillars,subcategory_reentrant-cavities,subcategory_reentrant-pillars,subcategory_rough,subcategory_rough-donuts,subcategory_rough-strings,material_CNTs forrest,material_IPS,material_OTFE,material_PDMS,material_SiO2,"material_cis-1,4-polyisoprene tape","material_cis-1,4-polyisoprene tape?",material_electrospun-fruoroPOSS-PMMA,material_epoxy,material_silica,material_silicon wafers,material_spincoat-fluoroPOSS-PMMA,coating_10-Undecenyl,coating_11-Bromoundecyl,coating_OTS,coating_Octadecyl,coating_Octyltriethoxy,coating_PDMS oligomer,coating_PTFE,coating_Phenethyl,coating_Phenyl,coating_glaco (pefluorinated silica NPs ~ 50nm),coating_none,coating_perfluorodecyltrichlorosilane (FDTS),coating_piranha-cleaned and storage,coating_plasma treatment,coating_tetrahydrodecyltrichlorosilane,test liquid_BMIm,test liquid_FC-70,test liquid_decane,test liquid_hexadecane,test liquid_hexane,test liquid_isopropanol,test liquid_octane,test liquid_pentane,test liquid_perhydrophenalene,test liquid_silicone oil,test liquid_water,Arrangement_None,Arrangement_hexagonal,Arrangement_square,Basic Geometry_None,Basic Geometry_circle
texture height (mm),1.0,0.8193683120787074,0.6497864796946525,0.7528103246978377,0.8084170451223696,0.3646273732461991,-0.8722149974972777,0.8722149974972776,0.4876782511858615,-0.6863395471275143,0.2522921436916762,0.32097054950045883,0.4795030064662356,-0.16280006756833712,0.03246357465258973,-0.0639348129620871,-0.06393481296208708,0.2578729412536875,-0.06393481296208708,-0.022421479543455525,0.4507579591805842,-0.06393481296208708,-0.06393481296208708,-0.0639348129620871,-0.2902906981573964,-0.09109988535223833,-0.13868200592653873,-0.06393481296208708,-0.06393481296208708,-0.06393481296208708,-0.11242910395225206,-0.06393481296208713,-0.06393481296208704,-0.0910998853522385,-0.06393481296208708,-0.06393481296208708,-0.06393481296208708,-0.06393481296208697,-0.03193146874632262,0.03846581091806678,0.4222213134495898,0.272895665434311,-0.19109273164942825,-0.0910998853522385,-0.09109988535223851,-0.11242910395225199,0.1037836617699375,-0.11242910395225202,0.14184514445417165,-0.13187087255171892,-0.11242910395225202,-0.0910998853522385,-0.0910998853522385,0.20190520119449162,-0.8722149974972777,0.545506262956688,0.590020943696438,-0.8722149974972777,0.8722149974972776
center-to-center distance (mm),0.8193683120787074,1.0,0.9547163718110798,0.670507133963457,0.6721818658931522,0.20236913556416103,-0.8525412444987492,0.8525412444987494,0.7608224666848312,-0.6708584160278962,0.032367025251292765,0.42574208060019053,0.18962503267024428,-0.15912793589590138,0.21017353610122094,-0.06249269407874707,-0.06249269407874708,-0.018181654509256507,-0.06249269407874708,0.10521425772331089,0.5605436932224626,-0.06249269407874708,-0.06249269407874708,-0.06249269407874707,-0.28374287736813425,-0.08904502886873723,-0.08013511993879184,-0.06249269407874708,-0.06249269407874708,-0.06249269407874708,-0.10989314386517568,-0.06249269407874708,-0.062492694078746996,-0.08904502886873743,-0.06249269407874708,-0.06249269407874708,-0.06249269407874708,-0.06249269407874695,-0.24653102666183646,0.1291407067994658,0.5988186222052054,0.4257420806001905,-0.1867824283261968,-0.08904502886873744,-0.08904502886873741,-0.10989314386517575,0.04961675948530704,-0.10989314386517574,-0.010000969460941514,-0.12524303381868243,-0.10989314386517574,-0.08904502886873741,-0.08904502886873741,0.29161997910958165,-0.8525412444987492,0.7276008994309406,0.38231326244434316,-0.8525412444987492,0.8525412444987494
texture width (mm),0.6497864796946525,0.9547163718110798,1.0,0.5322032964511563,0.49126089632256753,0.07132797414304663,-0.7136985031902551,0.7136985031902549,0.8203101354183339,-0.5616040871467742,-0.04786469502417739,0.45903027195317714,-0.041227813016011625,-0.1332127570337464,0.2098118462348915,-0.052315289743608114,-0.05231528974360813,-0.1273433172952382,-0.05231528974360813,0.11220739981077672,0.5830685390944651,-0.05231528974360813,-0.05231528974360813,-0.052315289743608114,-0.2375332198591721,-0.07454337749666977,-0.08416637441917413,-0.05231528974360813,-0.05231528974360813,-0.05231528974360813,-0.09199622046855986,-0.05231528974360813,-0.052315289743608114,-0.07454337749666985,-0.05231528974360813,-0.05231528974360813,-0.05231528974360813,-0.052315289743608065,-0.2953595205670065,0.166438208101677,0.5342532676827096,0.45903027195317725,-0.15636350778199024,-0.07454337749666985,-0.07454337749666985,-0.09199622046855983,-0.0076288623264428295,-0.09199622046855985,-0.07004624505851732,-0.10336691701549454,-0.09199622046855985,-0.07454337749666987,-0.07454337749666985,0.30200715608682366,-0.7136985031902551,0.7372610797016173,0.19189522928821612,-0.7136985031902551,0.7136985031902549
lip depth (mm),0.7528103246978377,0.670507133963457,0.5322032964511563,1.0,0.9210042818480823,0.43412831659622053,-0.6743250816491315,0.6743250816491313,0.15475039735912366,-0.5306214321970929,0.08659543984348674,0.7147010301749103,0.40860642865324,-0.12586365651875375,-0.04942915232435671,-0.04942915232435671,-0.04942915232435671,0.13557024334654447,-0.04942915232435671,-0.07043095773936918,0.11045694148134902,-0.04942915232435671,-0.04942915232435672,-0.04942915232435671,-0.22442895306622002,-0.07043095773936912,0.1455311279485819,-0.04942915232435671,-0.04942915232435671,-0.04942915232435671,-0.08692095976322362,-0.04942915232435671,-0.04942915232435671,-0.0704309577393692,-0.04942915232435671,-0.04942915232435671,-0.04942915232435671,-0.049429152324356664,-0.1289758578083854,-0.04975176468283738,0.6692094961352321,0.08659543984348678,-0.14773722332429684,-0.0704309577393692,-0.0704309577393692,-0.08692095976322363,0.23343411327823257,-0.0869209597632236,0.07457153378593506,-0.11398174236518353,-0.08692095976322363,-0.07043095773936921,-0.0704309577393692,0.07295976293252895,-0.6743250816491315,0.1551430173328821,0.7227534629366731,-0.6743250816491315,0.6743250816491313
lip thickness (mm),0.8084170451223696,0.6721818658931522,0.49126089632256753,0.9210042818480823,1.0,0.4216297830004011,-0.732162808511633,0.7321628085116325,0.2857418459575966,-0.5761335127914391,0.15989581451584606,0.3962635403218792,0.5082858744255565,-0.13665914371885043,-0.053668754096530824,-0.053668754096530824,-0.05366875409653083,0.18197355024696432,-0.05366875409653083,-0.07647191129018724,0.24082934609250403,-0.05366875409653083,-0.05366875409653085,-0.053668754096530824,-0.24367851213013048,-0.07647191129018718,0.037661466590870954,-0.05366875409653083,-0.05366875409653083,-0.05366875409653083,-0.09437628193085969,-0.05366875409653085,-0.053668754096530824,-0.0764719112901873,-0.05366875409653083,-0.05366875409653083,-0.05366875409653083,-0.05366875409653077,-0.09413041578748423,-0.01739381319326989,0.5673425057418943,0.15989581451584609,-0.16040883439526263,-0.07647191129018727,-0.07647191129018725,-0.09437628193085972,0.18197355024696432,-0.09437628193085972,0.10009605659333609,-0.12375810255351727,-0.09437628193085972,-0.07647191129018728,-0.07647191129018727,0.11980845957463072,-0.732162808511633,0.29982308754976034,0.6533716994581485,-0.732162808511633,0.7321628085116325
receding angle,0.3646273732461991,0.20236913556416103,0.07132797414304663,0.43412831659622053,0.4216297830004011,1.0,-0.37838811844502623,0.3783881184450259,-0.13976324592184367,-0.6745228113046148,0.03720396449190953,0.22196154778813176,0.48734210110661363,0.48028243357860173,0.12208243104218776,0.18334135597788154,0.2037609976231128,0.0443040633163219,0.24460028091357533,0.14922234176599705,-0.011578192865350652,0.18334135597788154,0.18334135597788154,0.18334135597788154,-0.2942568709710702,0.04447788509412303,-0.11679318059202444,0.13127126978254183,-0.020855060474431066,-0.00451934715824606,-0.028773809351680363,0.08532707608077149,-0.02085506047443106,0.26124071904008467,0.2037609976231128,-0.002477382993722934,0.02611011530960083,0.18538332014240472,-0.14474168760255088,0.03680892671249838,0.15834397105670725,-0.17519451709272396,-0.14548860776047176,-0.07248675818946976,-0.13635178107690407,-0.15373314583510164,0.10356388133971368,-0.18892284404020307,-0.019916538374886092,-0.07172860675428377,-0.19586502940039316,-0.06826788424018584,-0.17519451709272407,0.3494496165212049,-0.37838811844502623,-0.0550667453642739,0.5476861160486829,-0.37838811844502623,0.3783881184450259
Category_non-textured,-0.8722149974972777,-0.8525412444987492,-0.7136985031902551,-0.6743250816491315,-0.732162808511633,-0.37838811844502623,1.0,-1.0,-0.5184758473652129,0.7868926229162405,-0.2901294265928298,-0.29012942659282975,-0.5645895715784653,0.18665130505147637,-0.20361574059384205,0.07330166661378319,0.07330166661378312,-0.060754825124384446,0.07330166661378312,-0.0928414165097056,-0.6416408612774667,0.07330166661378312,0.07330166661378312,0.07330166661378319,0.3328201177351378,0.1044465935734187,0.12993022011546582,0.07330166661378315,0.07330166661378312,0.07330166661378312,0.12890067732709795,0.07330166661378315,0.0733016666137831,0.10444659357341868,0.07330166661378312,0.07330166661378312,0.07330166661378312,0.07330166661378315,0.09820927516479842,-0.12582281880891524,-0.5184758473652128,-0.2901294265928298,0.2190890230020667,0.10444659357341883,0.10444659357341883,0.128900677327098,-0.06075482512438448,0.128900677327098,-0.033418694121840245,0.041318652453394215,0.12890067732709806,0.10444659357341883,0.10444659357341882,-0.2666666666666668,1.0,-0.6509445549041196,-0.6509445549041195,1.0,-1.0
Category_textured,0.8722149974972776,0.8525412444987494,0.7136985031902549,0.6743250816491313,0.7321628085116325,0.3783881184450259,-1.0,1.0,0.5184758473652128,-0.78689262291624,0.29012942659282986,0.29012942659282964,0.5645895715784651,-0.18665130505147634,0.20361574059384202,-0.07330166661378319,-0.07330166661378319,0.060754825124384494,-0.07330166661378319,0.09284141650970554,0.6416408612774668,-0.07330166661378319,-0.07330166661378319,-0.07330166661378319,-0.3328201177351376,-0.1044465935734186,-0.1299302201154659,-0.07330166661378319,-0.07330166661378319,-0.07330166661378319,-0.1289006773270979,-0.07330166661378319,-0.0733016666137832,-0.10444659357341875,-0.07330166661378319,-0.07330166661378319,-0.07330166661378319,-0.07330166661378308,-0.09820927516479837,0.12582281880891508,0.5184758473652126,0.29012942659282986,-0.21908902300206656,-0.10444659357341878,-0.10444659357341875,-0.12890067732709795,0.060754825124384466,-0.12890067732709798,0.03341869412184026,-0.04131865245339419,-0.128900677327098,-0.10444659357341878,-0.10444659357341875,0.26666666666666666,-1.0000000000000002,0.6509445549041197,0.6509445549041192,-1.0000000000000002,1.0
subcategory_cavities,0.4876782511858615,0.7608224666848312,0.8203101354183339,0.15475039735912366,0.2857418459575966,-0.13976324592184367,-0.5184758473652129,0.5184758473652128,1.0,-0.4079848194519323,-0.05415303610738831,-0.0541530361073882,-0.1053813803535745,-0.09677419354838716,-0.03800514371086351,-0.03800514371086354,-0.038005143710863554,-0.12149965068900659,-0.038005143710863554,-0.0541530361073882,0.708142835634043,-0.038005143710863554,-0.038005143710863554,-0.03800514371086354,-0.17255919256291535,-0.05415303610738831,-0.21513556181608906,-0.038005143710863554,-0.038005143710863554,-0.038005143710863554,-0.06683188790311703,-0.038005143710863554,-0.03800514371086351,-0.05415303610738826,-0.038005143710863554,-0.038005143710863554,-0.038005143710863554,-0.03800514371086359,-0.29329423004270677,0.23585356555323841,0.26881720430107536,0.5595813731096787,-0.11359236684941303,-0.05415303610738826,-0.05415303610738826,-0.06683188790311698,-0.12149965068900632,-0.06683188790311696,-0.06683188790311688,-0.08763841367493655,-0.06683188790311698,-0.05415303610738827,-0.05415303610738826,0.31108550841912774,-0.5184758473652129,0.7964977100723755,-0.12149965068900627,-0.5184758473652129,0.5184758473652128
subcategory_flat,-0.6863395471275143,-0.6708584160278962,-0.5616040871467742,-0.5306214321970929,-0.5761335127914391,-0.6745228113046148,0.7868926229162405,-0.78689262291624,-0.4079848194519323,1.0,-0.22830070547681658,-0.22830070547681655,-0.4442713688505347,-0.40798481945193243,-0.16022372418292116,-0.16022372418292113,-0.16022372418292116,0.027795071916828236,-0.16022372418292116,-0.04778386858817093,-0.49330670756983697,-0.16022372418292116,-0.16022372418292116,-0.16022372418292113,0.4229549344378136,-0.04778386858817095,0.2665325826459362,-0.16022372418292116,0.09315332801332626,0.09315332801332626,0.16380974172739013,0.09315332801332626,0.09315332801332624,-0.22830070547681655,-0.16022372418292116,0.09315332801332626,0.09315332801332626,-0.1602237241829212,0.10783277320343859,-0.04280355380952003,-0.4079848194519323,-0.22830070547681658,0.27842302319485224,0.13273296830047474,0.13273296830047476,0.16380974172739016,-0.06220801809956771,0.16380974172739016,0.015288909227889756,0.09795245982302872,0.16380974172739018,0.13273296830047474,0.13273296830047468,-0.39649628286477223,0.7868926229162407,-0.5122234681815467,-0.5122234681815468,0.7868926229162407,-0.78689262291624
subcategory_pillars,0.2522921436916762,0.032367025251292765,-0.04786469502417739,0.08659543984348674,0.15989581451584606,0.03720396449190953,-0.2901294265928298,0.29012942659282986,-0.05415303610738831,-0.22830070547681658,1.0,-0.030303030303030314,-0.05896945751844652,-0.054153036107388204,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.0679889413649005,-0.021266970502955684,-0.030303030303030314,0.39626354032187955,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.09656090991705357,-0.030303030303030193,-0.12038585308576918,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.03739787960033831,-0.021266970502955684,-0.021266970502955684,-0.030303030303030318,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.021266970502955597,0.18463723646899902,-0.058969457518446525,-0.054153036107388176,-0.030303030303030193,-0.06356417261637287,-0.03030303030303032,-0.030303030303030328,-0.0373978796003383,-0.06798894136490051,-0.0373978796003383,-0.037397879600338295,-0.049040823861375,-0.0373978796003383,-0.03030303030303032,-0.030303030303030318,0.17407765595569788,-0.2901294265928298,0.4457052822810144,-0.06798894136490047,-0.2901294265928298,0.29012942659282986
subcategory_reentrant-cavities,0.32097054950045883,0.42574208060019053,0.45903027195317714,0.7147010301749103,0.3962635403218792,0.22196154778813176,-0.29012942659282975,0.29012942659282964,-0.0541530361073882,-0.22830070547681655,-0.030303030303030314,1.0,-0.05896945751844649,-0.054153036107388204,-0.02126697050295567,-0.021266970502955673,-0.02126697050295567,-0.06798894136490048,-0.02126697050295567,-0.03030303030303028,-0.07647191129018725,-0.02126697050295567,-0.02126697050295567,-0.021266970502955673,-0.0965609099170535,-0.030303030303030314,0.25171587463388106,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.03739787960033831,-0.02126697050295567,-0.02126697050295567,-0.0303030303030303,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.021266970502955684,-0.16412198797244362,-0.05896945751844652,0.5595813731096783,-0.030303030303030314,-0.06356417261637282,-0.030303030303030304,-0.03030303030303031,-0.03739787960033829,0.18885817045805686,-0.03739787960033828,-0.03739787960033826,-0.04904082386137498,-0.03739787960033829,-0.030303030303030304,-0.0303030303030303,1.6910689400044318e-17,-0.29012942659282975,-0.0679889413649005,0.4457052822810141,-0.29012942659282975,0.2901294265928297
subcategory_reentrant-pillars,0.4795030064662356,0.18962503267024428,-0.041227813016011625,0.40860642865324,0.5082858744255565,0.48734210110661363,-0.5645895715784653,0.5645895715784651,-0.1053813803535745,-0.4442713688505347,-0.05896945751844652,-0.05896945751844649,1.0,-0.10538138035357456,-0.0413853565494633,-0.04138535654946328,-0.04138535654946332,0.2961133002275765,-0.04138535654946332,-0.0589694575184465,0.11402610871143655,-0.04138535654946332,-0.04138535654946332,-0.04138535654946328,-0.18790676768477563,-0.05896945751844652,-0.027382198304686696,-0.04138535654946332,-0.04138535654946332,-0.04138535654946332,-0.0727759781882802,-0.04138535654946332,-0.04138535654946329,-0.058969457518446546,-0.04138535654946332,-0.04138535654946332,-0.04138535654946332,-0.04138535654946329,0.06843859108291539,0.04449648711943802,0.23585356555323825,-0.05896945751844652,-0.12369537763428122,-0.05896945751844655,-0.05896945751844655,-0.0727759781882802,0.15330688593342598,-0.07277597818828019,0.16287957023091282,0.08997973824932212,-0.0727759781882802,-0.05896945751844654,-0.058969457518446546,-0.04839339184958264,-0.5645895715784653,-0.1323059426548745,0.8673389574041771,-0.5645895715784653,0.564589571578465
subcategory_rough,-0.16280006756833712,-0.15912793589590138,-0.1332127570337464,-0.12586365651875375,-0.13665914371885043,0.48028243357860173,0.18665130505147637,-0.18665130505147634,-0.09677419354838716,-0.40798481945193243,-0.054153036107388204,-0.054153036107388204,-0.10538138035357456,1.0,-0.03800514371086353,-0.038005143710863526,0.39271981834558956,-0.12149965068900628,0.39271981834558956,-0.054153036107388225,-0.13665914371885043,0.39271981834558956,0.3927198183455896,-0.038005143710863526,-0.17255919256291527,0.252714168501145,-0.21513556181608898,0.39271981834558956,-0.03800514371086354,-0.03800514371086354,-0.06683188790311702,-0.03800514371086354,-0.03800514371086353,0.5595813731096781,0.39271981834558956,-0.03800514371086354,-0.03800514371086354,0.39271981834558956,-0.08554415042912275,-0.10538138035357457,-0.09677419354838714,-0.0541530361073882,-0.11359236684941297,-0.054153036107388246,-0.054153036107388246,-0.06683188790311696,0.031499909437890515,-0.06683188790311695,-0.06683188790311698,-0.08763841367493652,-0.06683188790311696,-0.05415303610738825,-0.054153036107388246,0.20739033894608497,0.18665130505147637,-0.1214996506890062,-0.1214996506890063,0.18665130505147637,-0.18665130505147634
subcategory_rough-donuts,0.03246357465258973,0.21017353610122094,0.2098118462348915,-0.04942915232435671,-0.053668754096530824,0.12208243104218776,-0.20361574059384205,0.20361574059384202,-0.03800514371086351,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.0413853565494633,-0.03800514371086353,1.0,-0.014925373134328363,-0.014925373134328361,-0.047715320747639206,-0.014925373134328361,0.7018100265975372,-0.053668754096530824,-0.014925373134328361,-0.014925373134328361,-0.014925373134328363,-0.06776741475716971,-0.021266970502955684,-0.08448799875609088,-0.014925373134328361,-0.014925373134328361,-0.014925373134328361,-0.02624620687700492,-0.014925373134328361,-0.014925373134328361,-0.021266970502955673,-0.014925373134328361,-0.014925373134328361,-0.014925373134328361,-0.014925373134328368,0.12958026383720395,-0.04138535654946329,-0.038005143710863505,-0.021266970502955684,-0.044609973674547054,-0.021266970502955673,-0.021266970502955677,-0.02624620687700491,-0.04771532074763921,-0.026246206877004907,-0.02624620687700489,-0.03441734189851672,-0.02624620687700491,-0.021266970502955677,-0.021266970502955673,0.12216944435630529,-0.2036157405938421,0.3128004360123015,-0.04771532074763919,-0.2036157405938421,0.20361574059384205
subcategory_rough-strings,-0.0639348129620871,-0.06249269407874707,-0.052315289743608114,-0.04942915232435671,-0.053668754096530824,0.18334135597788154,0.07330166661378319,-0.07330166661378319,-0.03800514371086354,-0.16022372418292113,-0.021266970502955684,-0.021266970502955673,-0.04138535654946328,-0.038005143710863526,-0.014925373134328363,1.0,-0.014925373134328354,-0.04771532074763922,-0.014925373134328354,-0.02126697050295567,-0.053668754096530824,-0.014925373134328354,-0.014925373134328354,1.0,-0.06776741475716971,-0.021266970502955684,-0.0844879987560909,-0.014925373134328354,-0.014925373134328354,-0.014925373134328354,-0.026246206877004914,-0.014925373134328354,-0.01492537313432836,-0.021266970502955666,-0.014925373134328354,-0.014925373134328354,-0.014925373134328354,-0.014925373134328368,0.12958026383720406,-0.04138535654946329,-0.03800514371086351,-0.02126697050295568,-0.04460997367454704,-0.021266970502955673,-0.021266970502955677,-0.02624620687700491,-0.04771532074763921,-0.0262462068770049,-0.026246206877004897,-0.03441734189851671,-0.02624620687700491,-0.021266970502955673,-0.021266970502955677,0.12216944435630525,0.07330166661378315,-0.04771532074763922,-0.04771532074763921,0.07330166661378315,-0.07330166661378318
material_CNTs forrest,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,0.2037609976231128,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,0.39271981834558956,-0.014925373134328361,-0.014925373134328354,1.0,-0.04771532074763924,-0.01492537313432836,-0.021266970502955673,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.06776741475716973,-0.021266970502955684,-0.08448799875609093,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.026246206877004914,-0.01492537313432836,-0.014925373134328365,-0.02126697050295567,1.0,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,-0.11518245674418134,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630525,0.07330166661378318,-0.04771532074763924,-0.04771532074763923,0.07330166661378318,-0.0733016666137832
material_IPS,0.2578729412536875,-0.018181654509256507,-0.1273433172952382,0.13557024334654447,0.18197355024696432,0.0443040633163219,-0.060754825124384446,0.060754825124384494,-0.12149965068900659,0.027795071916828236,-0.0679889413649005,-0.06798894136490048,0.2961133002275765,-0.12149965068900628,-0.047715320747639206,-0.04771532074763922,-0.04771532074763924,1.0,-0.04771532074763924,-0.06798894136490051,-0.17157506166142353,-0.04771532074763924,-0.047715320747639255,-0.04771532074763922,-0.2166474434022357,-0.06798894136490051,-0.2701019213181924,-0.04771532074763924,-0.04771532074763924,-0.04771532074763924,-0.08390719402952725,-0.047715320747639255,-0.047715320747639206,-0.06798894136490052,-0.04771532074763924,-0.047715320747639255,-0.04771532074763924,-0.04771532074763923,0.15342910298305384,0.2961133002275764,-0.1214996506890064,-0.06798894136490051,-0.14261480656245856,-0.06798894136490052,-0.06798894136490051,-0.08390719402952729,0.23163841807909602,-0.08390719402952729,0.5500582719713455,-0.11002971203391543,-0.08390719402952732,-0.06798894136490054,-0.06798894136490052,-0.13018891098082386,-0.06075482512438439,-0.1525423728813562,0.23163841807909602,-0.06075482512438439,0.060754825124384494
material_OTFE,-0.06393481296208708,-0.06249269407874708,-0.05231528974360813,-0.04942915232435671,-0.05366875409653083,0.24460028091357533,0.07330166661378312,-0.07330166661378319,-0.038005143710863554,-0.16022372418292116,-0.021266970502955684,-0.02126697050295567,-0.04138535654946332,0.39271981834558956,-0.014925373134328361,-0.014925373134328354,-0.01492537313432836,-0.04771532074763924,1.0,-0.021266970502955673,-0.053668754096530845,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.06776741475716973,-0.021266970502955684,-0.08448799875609093,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.026246206877004914,-0.01492537313432836,-0.014925373134328365,-0.02126697050295567,-0.01492537313432836,-0.01492537313432836,-0.01492537313432836,-0.014925373134328368,0.12958026383720408,-0.04138535654946332,-0.03800514371086352,-0.021266970502955684,-0.04460997367454705,-0.02126697050295567,-0.02126697050295567,-0.026246206877004907,-0.04771532074763921,-0.026246206877004897,-0.026246206877004897,-0.03441734189851671,-0.0262462068770049,-0.021266970502955673,-0.02126697050295567,0.12216944435630525,0.07330166661378314,-0.04771532074763924,-0.04771532074763923,0.07330166661378314,-0.0733016666137832
