,texture height (mm),center-to-center distance (mm),texture width (mm),lip depth (mm),lip thickness (mm),receding angle,Category_non-textured,Category_textured,subcategory_cavities,subcategory_flat,subcategory_pillars,subcategory_reentrant-cavities,subcategory_reentrant-pillars,subcategory_rough,subcategory_rough-donuts,subcategory_rough-strings,material_CNTs forrest,material_IPS,material_OTFE,material_PDMS,material_SiO2,"material_cis-1,4-polyisoprene tape","material_cis-1,4-polyisoprene tape?",material_electrospun-fruoroPOSS-PMMA,material_epoxy,material_silica,material_silicon wafers,material_spincoat-fluoroPOSS-PMMA,coating_10-Undecenyl,coating_11-Bromoundecyl,coating_OTS,coating_Octadecyl,coating_Octyltriethoxy,coating_PDMS oligomer,coating_PTFE,coating_Phenethyl,coating_Phenyl,coating_glaco (pefluorinated silica NPs ~ 50nm),coating_none,coating_perfluorodecyltrichlorosilane (FDTS),coating_piranha-cleaned and storage,coating_plasma treatment,coating_tetrahydrodecyltrichlorosilane,test liquid_BMIm,test liquid_FC-70,test liquid_decane,test liquid_hexadecane,test liquid_hexane,test liquid_isopropanol,test liquid_octane,test liquid_pentane,test liquid_perhydrophenalene,test liquid_silicone oil,test liquid_water,Arrangement_None,Arrangement_hexagonal,Arrangement_square,Basic Geometry_None,Basic Geometry_circle
coating_none,-0.03193146874632262,-0.24653102666183646,-0.2953595205670065,-0.1289758578083854,-0.09413041578748423,-0.14474168760255088,0.09820927516479842,-0.09820927516479837,-0.29329423004270677,0.10783277320343859,0.18463723646899902,-0.16412198797244362,0.06843859108291539,-0.08554415042912275,0.12958026383720395,0.12958026383720406,-0.11518245674418134,0.15342910298305384,0.12958026383720408,0.18463723646899902,-0.17414126920684572,-0.11518245674418134,-0.11518245674418134,0.12958026383720406,0.03268602252303083,0.01025762424827769,-0.08520622635759086,0.12958026383720414,-0.11518245674418134,-0.11518245674418134,-0.20254787341673325,-0.11518245674418134,-0.11518245674418136,-0.16412198797244362,-0.11518245674418134,-0.11518245674418134,-0.11518245674418134,-0.11518245674418139,1.0,-0.3193800917202724,-0.2932942300427067,-0.16412198797244362,-0.3442651863295481,0.010257624248277768,0.010257624248277763,0.08439494725697223,-0.020457213731073887,0.08439494725697225,0.08439494725697219,-0.039840953644479746,0.08439494725697225,0.01025762424827776,0.010257624248277747,-0.11785113019775796,0.09820927516479845,-0.10740037208813778,-0.020457213731073964,0.09820927516479845,-0.09820927516479834
coating_perfluorodecyltrichlorosilane (FDTS),0.03846581091806678,0.1291407067994658,0.166438208101677,-0.04975176468283738,-0.01739381319326989,0.03680892671249838,-0.12582281880891524,0.12582281880891508,0.23585356555323841,-0.04280355380952003,-0.058969457518446525,-0.05896945751844652,0.04449648711943802,-0.10538138035357457,-0.04138535654946329,-0.04138535654946329,-0.04138535654946332,0.2961133002275764,-0.04138535654946332,-0.05896945751844652,0.37686595252084987,-0.04138535654946332,-0.04138535654946332,-0.04138535654946329,-0.18790676768477568,-0.058969457518446525,-0.23426991882898612,-0.04138535654946332,-0.04138535654946332,-0.04138535654946332,-0.07277597818828023,-0.04138535654946332,-0.04138535654946329,-0.05896945751844655,-0.04138535654946332,-0.04138535654946332,-0.04138535654946332,-0.04138535654946329,-0.3193800917202724,1.0,-0.1053813803535745,-0.058969457518446525,-0.12369537763428123,-0.05896945751844656,-0.05896945751844656,-0.07277597818828023,0.01050047163927576,-0.0727759781882802,0.16287957023091276,0.2753925322176223,-0.07277597818828023,-0.058969457518446546,-0.05896945751844655,-0.04839339184958261,-0.12582281880891522,0.15330688593342612,0.010500471639275836,-0.12582281880891522,0.1258228188089151
coating_piranha-cleaned and storage,0.4222213134495898,0.5988186222052054,0.5342532676827096,0.6692094961352321,0.5673425057418943,0.15834397105670725,-0.5184758473652128,0.5184758473652126,0.26881720430107536,-0.4079848194519323,-0.054153036107388176,0.5595813731096783,0.23585356555323825,-0.09677419354838714,-0.038005143710863505,-0.03800514371086351,-0.03800514371086352,-0.1214996506890064,-0.03800514371086352,-0.05415303610738819,0.14494151606544753,-0.03800514371086352,-0.03800514371086352,-0.03800514371086351,-0.1725591925629153,-0.054153036107388176,0.22817408071403397,-0.03800514371086352,-0.03800514371086352,-0.03800514371086352,-0.06683188790311703,-0.03800514371086352,-0.038005143710863505,-0.05415303610738822,-0.03800514371086352,-0.03800514371086352,-0.03800514371086352,-0.03800514371086349,-0.2932942300427067,-0.1053813803535745,1.0,-0.05415303610738823,-0.11359236684941301,-0.05415303610738825,-0.05415303610738825,-0.06683188790311698,0.1844994695647874,-0.06683188790311696,-0.06683188790311685,-0.08763841367493654,-0.06683188790311698,-0.05415303610738826,-0.05415303610738825,0.10369516947304251,-0.5184758473652128,0.18449946956478755,0.4904985898185812,-0.5184758473652128,0.5184758473652126
coating_plasma treatment,0.272895665434311,0.4257420806001905,0.45903027195317725,0.08659543984348678,0.15989581451584609,-0.17519451709272396,-0.2901294265928298,0.29012942659282986,0.5595813731096787,-0.22830070547681658,-0.030303030303030193,-0.030303030303030314,-0.05896945751844652,-0.0541530361073882,-0.021266970502955684,-0.02126697050295568,-0.021266970502955684,-0.06798894136490051,-0.021266970502955684,-0.030303030303030314,0.39626354032187944,-0.021266970502955684,-0.021266970502955684,-0.02126697050295568,-0.09656090991705354,-0.030303030303030193,-0.12038585308576918,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.037397879600338316,-0.021266970502955684,-0.021266970502955684,-0.030303030303030318,-0.021266970502955684,-0.021266970502955684,-0.021266970502955684,-0.021266970502955597,-0.16412198797244362,-0.058969457518446525,-0.05415303610738823,1.0,-0.06356417261637287,-0.030303030303030318,-0.030303030303030325,-0.0373978796003383,-0.06798894136490051,-0.0373978796003383,-0.037397879600338295,-0.049040823861375,-0.0373978796003383,-0.03030303030303032,-0.030303030303030318,0.17407765595569788,-0.2901294265928298,0.44570528228101436,-0.06798894136490047,-0.2901294265928298,0.29012942659282986
coating_tetrahydrodecyltrichlorosilane,-0.19109273164942825,-0.1867824283261968,-0.15636350778199024,-0.14773722332429684,-0.16040883439526263,-0.14548860776047176,0.2190890230020667,-0.21908902300206656,-0.11359236684941303,0.27842302319485224,-0.06356417261637287,-0.06356417261637282,-0.12369537763428122,-0.11359236684941297,-0.044609973674547054,-0.04460997367454704,-0.04460997367454705,-0.14261480656245856,-0.04460997367454705,-0.06356417261637282,-0.16040883439526266,-0.04460997367454705,-0.04460997367454705,-0.04460997367454704,0.6582805886043832,-0.06356417261637287,-0.25252349582173345,-0.04460997367454705,-0.04460997367454705,-0.04460997367454705,-0.0784464540552736,-0.04460997367454705,-0.044609973674547054,-0.06356417261637282,-0.04460997367454705,-0.04460997367454705,-0.04460997367454705,-0.04460997367454709,-0.3442651863295481,-0.12369537763428123,-0.11359236684941301,-0.06356417261637287,1.0,-0.06356417261637282,0.20658356100321162,0.14381849910133493,-0.007923044809025458,0.14381849910133493,-0.07844645405527363,0.07200822998230959,0.14381849910133493,0.20658356100321165,-0.06356417261637282,-0.27386127875258287,0.21908902300206679,-0.14261480656245856,-0.14261480656245856,0.21908902300206679,-0.21908902300206662
test liquid_BMIm,-0.0910998853522385,-0.08904502886873744,-0.07454337749666985,-0.0704309577393692,-0.07647191129018727,-0.07248675818946976,0.10444659357341883,-0.10444659357341878,-0.05415303610738826,0.13273296830047474,-0.03030303030303032,-0.030303030303030304,-0.05896945751844655,-0.054153036107388246,-0.021266970502955673,-0.021266970502955673,-0.02126697050295567,-0.06798894136490052,-0.02126697050295567,-0.030303030303030304,-0.0764719112901873,-0.02126697050295567,-0.02126697050295567,-0.021266970502955673,-0.0965609099170535,-0.03030303030303032,0.2517158746338811,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,0.3864447558701622,-0.02126697050295567,-0.021266970502955673,-0.030303030303030304,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.021266970502955687,0.010257624248277768,-0.05896945751844656,-0.05415303610738825,-0.030303030303030318,-0.06356417261637282,1.0,-0.030303030303030304,-0.03739787960033829,-0.0679889413649005,-0.03739787960033828,-0.0373978796003383,-0.04904082386137498,-0.03739787960033828,-0.030303030303030307,-0.030303030303030304,-0.17407765595569785,0.10444659357341886,-0.06798894136490054,-0.06798894136490051,0.10444659357341886,-0.10444659357341879
test liquid_FC-70,-0.09109988535223851,-0.08904502886873741,-0.07454337749666985,-0.0704309577393692,-0.07647191129018725,-0.13635178107690407,0.10444659357341883,-0.10444659357341875,-0.05415303610738826,0.13273296830047476,-0.030303030303030328,-0.03030303030303031,-0.05896945751844655,-0.054153036107388246,-0.021266970502955677,-0.021266970502955677,-0.02126697050295567,-0.06798894136490051,-0.02126697050295567,-0.03030303030303031,-0.0764719112901873,-0.02126697050295567,-0.02126697050295567,-0.021266970502955677,0.31382295723042386,-0.030303030303030328,-0.12038585308576927,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.03739787960033828,-0.02126697050295567,-0.021266970502955677,-0.030303030303030304,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.02126697050295569,0.010257624248277763,-0.05896945751844656,-0.05415303610738825,-0.030303030303030325,0.20658356100321162,-0.030303030303030304,1.0,-0.03739787960033829,-0.0679889413649005,-0.03739787960033829,-0.0373978796003383,-0.04904082386137498,-0.03739787960033828,-0.030303030303030307,-0.030303030303030304,-0.17407765595569785,0.10444659357341883,-0.06798894136490054,-0.06798894136490051,0.10444659357341883,-0.10444659357341879
test liquid_decane,-0.11242910395225199,-0.10989314386517575,-0.09199622046855983,-0.08692095976322363,-0.09437628193085972,-0.15373314583510164,0.128900677327098,-0.12890067732709795,-0.06683188790311698,0.16380974172739016,-0.0373978796003383,-0.03739787960033829,-0.0727759781882802,-0.06683188790311696,-0.02624620687700491,-0.02624620687700491,-0.026246206877004907,-0.08390719402952729,-0.026246206877004907,-0.03739787960033829,-0.09437628193085972,-0.026246206877004907,-0.026246206877004907,-0.02624620687700491,0.2184759836322132,-0.0373978796003383,0.004502175639285594,-0.026246206877004907,-0.026246206877004907,-0.026246206877004907,-0.046153846153846156,-0.026246206877004907,-0.02624620687700491,-0.03739787960033828,-0.026246206877004907,-0.026246206877004907,-0.026246206877004907,-0.02624620687700492,0.08439494725697223,-0.07277597818828023,-0.06683188790311698,-0.0373978796003383,0.14381849910133493,-0.03739787960033829,-0.03739787960033829,1.0,-0.08390719402952723,-0.046153846153846156,-0.04615384615384616,-0.060522753266880246,-0.04615384615384614,-0.03739787960033829,-0.03739787960033828,-0.21483446221182986,0.128900677327098,-0.08390719402952727,-0.08390719402952727,0.128900677327098,-0.12890067732709795
test liquid_hexadecane,0.1037836617699375,0.04961675948530704,-0.0076288623264428295,0.23343411327823257,0.18197355024696432,0.10356388133971368,-0.06075482512438448,0.060754825124384466,-0.12149965068900632,-0.06220801809956771,-0.06798894136490051,0.18885817045805686,0.15330688593342598,0.031499909437890515,-0.04771532074763921,-0.04771532074763921,-0.04771532074763921,0.23163841807909602,-0.04771532074763921,-0.06798894136490048,-0.17157506166142364,-0.04771532074763921,0.3128004360123014,-0.04771532074763921,-0.012035969077901953,-0.06798894136490051,0.008184906706611877,-0.04771532074763921,-0.04771532074763921,-0.04771532074763921,-0.08390719402952725,-0.04771532074763922,-0.04771532074763921,0.18885817045805683,-0.04771532074763921,-0.04771532074763921,-0.04771532074763921,-0.047715320747639234,-0.020457213731073887,0.01050047163927576,0.1844994695647874,-0.06798894136490051,-0.007923044809025458,-0.0679889413649005,-0.0679889413649005,-0.08390719402952723,1.0,-0.08390719402952725,-0.0839071940295272,-0.11002971203391539,-0.08390719402952726,-0.0679889413649005,-0.06798894136490048,-0.39056673294247146,-0.060754825124384466,-0.15254237288135597,0.23163841807909588,-0.060754825124384466,0.060754825124384466
test liquid_hexane,-0.11242910395225202,-0.10989314386517574,-0.09199622046855985,-0.0869209597632236,-0.09437628193085972,-0.18892284404020307,0.128900677327098,-0.12890067732709798,-0.06683188790311696,0.16380974172739016,-0.0373978796003383,-0.03739787960033828,-0.07277597818828019,-0.06683188790311695,-0.026246206877004907,-0.0262462068770049,-0.026246206877004897,-0.08390719402952729,-0.026246206877004897,-0.03739787960033828,-0.09437628193085972,-0.026246206877004897,-0.026246206877004897,-0.0262462068770049,0.21847598363221318,-0.0373978796003383,0.004502175639285585,-0.026246206877004897,-0.026246206877004897,-0.026246206877004897,-0.046153846153846156,-0.026246206877004897,-0.026246206877004907,-0.037397879600338274,-0.026246206877004897,-0.026246206877004897,-0.026246206877004897,-0.02624620687700492,0.08439494725697225,-0.0727759781882802,-0.06683188790311696,-0.0373978796003383,0.14381849910133493,-0.03739787960033828,-0.03739787960033829,-0.046153846153846156,-0.08390719402952725,1.0,-0.04615384615384616,-0.060522753266880246,-0.04615384615384616,-0.03739787960033828,-0.037397879600338274,-0.21483446221182992,0.128900677327098,-0.08390719402952732,-0.08390719402952729,0.128900677327098,-0.12890067732709798
test liquid_isopropanol,0.14184514445417165,-0.010000969460941514,-0.07004624505851732,0.07457153378593506,0.10009605659333609,-0.019916538374886092,-0.033418694121840245,0.03341869412184026,-0.06683188790311688,0.015288909227889756,-0.037397879600338295,-0.03739787960033826,0.16287957023091282,-0.06683188790311698,-0.02624620687700489,-0.026246206877004897,-0.026246206877004897,0.5500582719713455,-0.026246206877004897,-0.03739787960033826,-0.09437628193085966,-0.026246206877004897,-0.026246206877004897,-0.026246206877004897,-0.11916871834484365,-0.037397879600338295,-0.1485717960964251,-0.026246206877004897,-0.026246206877004897,-0.026246206877004897,-0.04615384615384621,-0.026246206877004897,-0.02624620687700489,-0.037397879600338274,-0.026246206877004897,-0.026246206877004897,-0.026246206877004897,-0.026246206877004918,0.08439494725697219,0.16287957023091276,-0.06683188790311685,-0.037397879600338295,-0.07844645405527363,-0.0373978796003383,-0.0373978796003383,-0.04615384615384616,-0.0839071940295272,-0.04615384615384616,1.0,-0.06052275326688028,-0.04615384615384617,-0.0373978796003383,-0.037397879600338295,-0.21483446221182959,-0.03341869412184032,-0.08390719402952718,0.12741462797076367,-0.03341869412184032,0.03341869412184027
test liquid_octane,-0.13187087255171892,-0.12524303381868243,-0.10336691701549454,-0.11398174236518353,-0.12375810255351727,-0.07172860675428377,0.041318652453394215,-0.04131865245339419,-0.08763841367493655,0.09795245982302872,-0.049040823861375,-0.04904082386137498,0.08997973824932212,-0.08763841367493652,-0.03441734189851672,-0.03441734189851671,-0.03441734189851671,-0.11002971203391543,-0.03441734189851671,-0.04904082386137498,0.1822619328515435,-0.03441734189851671,-0.03441734189851671,-0.03441734189851671,0.10938835388564896,-0.049040823861375,-0.07438814984891526,-0.03441734189851671,-0.03441734189851671,-0.03441734189851671,-0.06052275326688027,-0.03441734189851671,-0.03441734189851672,-0.04904082386137497,-0.03441734189851671,-0.03441734189851671,-0.03441734189851671,-0.03441734189851674,-0.039840953644479746,0.2753925322176223,-0.08763841367493654,-0.049040823861375,0.07200822998230959,-0.04904082386137498,-0.04904082386137498,-0.060522753266880246,-0.11002971203391539,-0.060522753266880246,-0.06052275326688028,1.0,-0.060522753266880246,-0.04904082386137498,-0.049040823861374976,-0.28171808490950545,0.04131865245339421,-0.11002971203391544,0.056237408372890055,0.04131865245339421,-0.04131865245339418
test liquid_pentane,-0.11242910395225202,-0.10989314386517574,-0.09199622046855985,-0.08692095976322363,-0.09437628193085972,-0.19586502940039316,0.12890067732709806,-0.128900677327098,-0.06683188790311698,0.16380974172739018,-0.0373978796003383,-0.03739787960033829,-0.0727759781882802,-0.06683188790311696,-0.02624620687700491,-0.02624620687700491,-0.0262462068770049,-0.08390719402952732,-0.0262462068770049,-0.03739787960033829,-0.09437628193085974,-0.0262462068770049,-0.0262462068770049,-0.02624620687700491,0.2184759836322132,-0.0373978796003383,0.004502175639285594,-0.0262462068770049,-0.0262462068770049,-0.0262462068770049,-0.04615384615384614,-0.0262462068770049,-0.02624620687700491,-0.037397879600338274,-0.0262462068770049,-0.0262462068770049,-0.0262462068770049,-0.02624620687700492,0.08439494725697225,-0.07277597818828023,-0.06683188790311698,-0.0373978796003383,0.14381849910133493,-0.03739787960033828,-0.03739787960033828,-0.04615384615384614,-0.08390719402952726,-0.04615384615384616,-0.04615384615384617,-0.060522753266880246,1.0,-0.03739787960033828,-0.037397879600338274,-0.21483446221182992,0.12890067732709806,-0.08390719402952732,-0.08390719402952732,0.12890067732709806,-0.128900677327098
test liquid_perhydrophenalene,-0.0910998853522385,-0.08904502886873741,-0.07454337749666987,-0.07043095773936921,-0.07647191129018728,-0.06826788424018584,0.10444659357341883,-0.10444659357341878,-0.05415303610738827,0.13273296830047474,-0.03030303030303032,-0.030303030303030304,-0.05896945751844654,-0.05415303610738825,-0.021266970502955677,-0.021266970502955673,-0.021266970502955673,-0.06798894136490054,-0.021266970502955673,-0.030303030303030304,-0.0764719112901873,-0.021266970502955673,-0.021266970502955673,-0.021266970502955673,0.3138229572304239,-0.03030303030303032,-0.12038585308576924,-0.021266970502955673,-0.021266970502955673,-0.021266970502955673,-0.03739787960033828,-0.021266970502955673,-0.021266970502955677,-0.030303030303030304,-0.021266970502955673,-0.021266970502955673,-0.021266970502955673,-0.021266970502955687,0.01025762424827776,-0.058969457518446546,-0.05415303610738826,-0.03030303030303032,0.20658356100321165,-0.030303030303030307,-0.030303030303030307,-0.03739787960033829,-0.0679889413649005,-0.03739787960033828,-0.0373978796003383,-0.04904082386137498,-0.03739787960033828,1.0,-0.030303030303030304,-0.17407765595569788,0.10444659357341886,-0.06798894136490055,-0.06798894136490051,0.10444659357341886,-0.10444659357341875
test liquid_silicone oil,-0.0910998853522385,-0.08904502886873741,-0.07454337749666985,-0.0704309577393692,-0.07647191129018727,-0.17519451709272407,0.10444659357341882,-0.10444659357341875,-0.05415303610738826,0.13273296830047468,-0.030303030303030318,-0.0303030303030303,-0.058969457518446546,-0.054153036107388246,-0.021266970502955673,-0.021266970502955677,-0.02126697050295567,-0.06798894136490052,-0.02126697050295567,-0.0303030303030303,-0.07647191129018732,-0.02126697050295567,-0.02126697050295567,-0.021266970502955677,-0.0965609099170535,-0.030303030303030318,0.251715874633881,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,0.3864447558701622,-0.02126697050295567,-0.021266970502955673,-0.0303030303030303,-0.02126697050295567,-0.02126697050295567,-0.02126697050295567,-0.021266970502955684,0.010257624248277747,-0.05896945751844655,-0.05415303610738825,-0.030303030303030318,-0.06356417261637282,-0.030303030303030304,-0.030303030303030304,-0.03739787960033828,-0.06798894136490048,-0.037397879600338274,-0.037397879600338295,-0.049040823861374976,-0.037397879600338274,-0.030303030303030304,1.0,-0.17407765595569785,0.10444659357341883,-0.06798894136490054,-0.06798894136490051,0.10444659357341883,-0.10444659357341878
test liquid_water,0.20190520119449162,0.29161997910958165,0.30200715608682366,0.07295976293252895,0.11980845957463072,0.3494496165212049,-0.2666666666666668,0.26666666666666666,0.31108550841912774,-0.39649628286477223,0.17407765595569788,1.6910689400044318e-17,-0.04839339184958264,0.20739033894608497,0.12216944435630529,0.12216944435630525,0.12216944435630525,-0.13018891098082386,0.12216944435630525,0.1740776559556979,0.2795530723408052,0.12216944435630527,-0.12216944435630525,0.12216944435630525,-0.41602514716892175,0.17407765595569788,1.0469868529848738e-17,0.12216944435630527,0.12216944435630525,0.12216944435630527,-0.0716114874039433,0.12216944435630527,0.12216944435630529,-1.6306736207185594e-17,0.12216944435630525,0.12216944435630527,0.12216944435630527,0.12216944435630527,-0.11785113019775796,-0.04839339184958261,0.10369516947304251,0.17407765595569788,-0.27386127875258287,-0.17407765595569785,-0.17407765595569785,-0.21483446221182986,-0.39056673294247146,-0.21483446221182992,-0.21483446221182959,-0.28171808490950545,-0.21483446221182992,-0.17407765595569788,-0.17407765595569785,1.0,-0.2666666666666668,0.3905667329424715,-0.04339630366027455,-0.2666666666666668,0.26666666666666666
Arrangement_None,-0.8722149974972777,-0.8525412444987492,-0.7136985031902551,-0.6743250816491315,-0.732162808511633,-0.37838811844502623,1.0,-1.0000000000000002,-0.5184758473652129,0.7868926229162407,-0.2901294265928298,-0.29012942659282975,-0.5645895715784653,0.18665130505147637,-0.2036157405938421,0.07330166661378315,0.07330166661378318,-0.06075482512438439,0.07330166661378314,-0.0928414165097056,-0.6416408612774669,0.07330166661378314,0.07330166661378314,0.07330166661378315,0.3328201177351378,0.1044465935734187,0.12993022011546582,0.07330166661378318,0.07330166661378314,0.07330166661378314,0.12890067732709795,0.07330166661378314,0.07330166661378312,0.1044465935734187,0.07330166661378318,0.07330166661378314,0.07330166661378314,0.07330166661378315,0.09820927516479845,-0.12582281880891522,-0.5184758473652128,-0.2901294265928298,0.21908902300206679,0.10444659357341886,0.10444659357341883,0.128900677327098,-0.060754825124384466,0.128900677327098,-0.03341869412184032,0.04131865245339421,0.12890067732709806,0.10444659357341886,0.10444659357341883,-0.2666666666666668,1.0,-0.6509445549041196,-0.6509445549041195,1.0,-1.0
Arrangement_hexagonal,0.545506262956688,0.7276008994309406,0.7372610797016173,0.1551430173328821,0.29982308754976034,-0.0550667453642739,-0.6509445549041196,0.6509445549041197,0.7964977100723755,-0.5122234681815467,0.4457052822810144,-0.0679889413649005,-0.1323059426548745,-0.1214996506890062,0.3128004360123015,-0.04771532074763922,-0.04771532074763924,-0.1525423728813562,-0.04771532074763924,0.1888581704580569,0.7712212367609447,-0.04771532074763924,-0.04771532074763924,-0.04771532074763922,-0.2166474434022357,-0.06798894136490038,-0.27010192131819244,-0.04771532074763924,-0.04771532074763924,-0.04771532074763924,-0.08390719402952727,-0.04771532074763924,-0.04771532074763922,-0.06798894136490054,-0.04771532074763924,-0.04771532074763924,-0.04771532074763924,-0.04771532074763913,-0.10740037208813778,0.15330688593342612,0.18449946956478755,0.44570528228101436,-0.14261480656245856,-0.06798894136490054,-0.06798894136490054,-0.08390719402952727,-0.15254237288135597,-0.08390719402952732,-0.08390719402952718,-0.11002971203391544,-0.08390719402952732,-0.06798894136490055,-0.06798894136490054,0.3905667329424715,-0.6509445549041196,1.0,-0.15254237288135594,-0.6509445549041196,0.6509445549041197
Arrangement_square,0.590020943696438,0.38231326244434316,0.19189522928821612,0.7227534629366731,0.6533716994581485,0.5476861160486829,-0.6509445549041195,0.6509445549041192,-0.12149965068900627,-0.5122234681815468,-0.06798894136490047,0.4457052822810141,0.8673389574041771,-0.1214996506890063,-0.04771532074763919,-0.04771532074763921,-0.04771532074763923,0.23163841807909602,-0.04771532074763923,-0.06798894136490045,0.06412401294416835,-0.04771532074763923,-0.04771532074763923,-0.04771532074763921,-0.2166474434022357,-0.06798894136490047,0.10094718271487986,-0.04771532074763923,-0.04771532074763923,-0.04771532074763923,-0.08390719402952722,-0.04771532074763923,-0.04771532074763919,-0.06798894136490051,-0.04771532074763923,-0.04771532074763923,-0.04771532074763923,-0.0477153207476392,-0.020457213731073964,0.010500471639275836,0.4904985898185812,-0.06798894136490047,-0.14261480656245856,-0.06798894136490051,-0.06798894136490051,-0.08390719402952727,0.23163841807909588,-0.08390719402952729,0.12741462797076367,0.056237408372890055,-0.08390719402952732,-0.06798894136490051,-0.06798894136490051,-0.04339630366027455,-0.6509445549041195,-0.15254237288135594,1.0,-0.6509445549041194,0.6509445549041192
Basic Geometry_None,-0.8722149974972777,-0.8525412444987492,-0.7136985031902551,-0.6743250816491315,-0.732162808511633,-0.37838811844502623,1.0,-1.0000000000000002,-0.5184758473652129,0.7868926229162407,-0.2901294265928298,-0.29012942659282975,-0.5645895715784653,0.18665130505147637,-0.2036157405938421,0.07330166661378315,0.07330166661378318,-0.06075482512438439,0.07330166661378314,-0.0928414165097056,-0.6416408612774669,0.07330166661378314,0.07330166661378314,0.07330166661378315,0.3328201177351378,0.1044465935734187,0.12993022011546582,0.07330166661378318,0.07330166661378314,0.07330166661378314,0.12890067732709795,0.07330166661378314,0.07330166661378312,0.1044465935734187,0.07330166661378318,0.07330166661378314,0.07330166661378314,0.07330166661378315,0.09820927516479845,-0.12582281880891522,-0.5184758473652128,-0.2901294265928298,0.21908902300206679,0.10444659357341886,0.10444659357341883,0.128900677327098,-0.060754825124384466,0.128900677327098,-0.03341869412184032,0.04131865245339421,0.12890067732709806,0.10444659357341886,0.10444659357341883,-0.2666666666666668,1.0,-0.6509445549041196,-0.6509445549041194,1.0,-1.0
Basic Geometry_circle,0.8722149974972776,0.8525412444987494,0.7136985031902549,0.6743250816491313,0.7321628085116325,0.3783881184450259,-1.0,1.0,0.5184758473652128,-0.78689262291624,0.29012942659282986,0.2901294265928297,0.564589571578465,-0.18665130505147634,0.20361574059384205,-0.07330166661378318,-0.0733016666137832,0.060754825124384494,-0.0733016666137832,0.09284141650970552,0.6416408612774669,-0.0733016666137832,-0.0733016666137832,-0.07330166661378318,-0.3328201177351376,-0.1044465935734186,-0.1299302201154659,-0.0733016666137832,-0.0733016666137832,-0.0733016666137832,-0.1289006773270979,-0.0733016666137832,-0.07330166661378319,-0.10444659357341878,-0.0733016666137832,-0.0733016666137832,-0.0733016666137832,-0.07330166661378308,-0.09820927516479834,0.1258228188089151,0.5184758473652126,0.29012942659282986,-0.21908902300206662,-0.10444659357341879,-0.10444659357341879,-0.12890067732709795,0.060754825124384466,-0.12890067732709798,0.03341869412184027,-0.04131865245339418,-0.128900677327098,-0.10444659357341875,-0.10444659357341878,0.26666666666666666,-1.0,0.6509445549041197,0.6509445549041192,-1.0,1.0
